UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 May21 ?        00:00:16 /sbin/init splash
root         2     0  0 May21 ?        00:00:00 [kthreadd]
root         4     2  0 May21 ?        00:00:00 [kworker/0:0H]
root         6     2  0 May21 ?        00:00:00 [mm_percpu_wq]
root         7     2  0 May21 ?        00:00:03 [ksoftirqd/0]
root         8     2  0 May21 ?        00:00:40 [rcu_sched]
root         9     2  0 May21 ?        00:00:00 [rcu_bh]
root        10     2  0 May21 ?        00:00:00 [migration/0]
root        11     2  0 May21 ?        00:00:00 [watchdog/0]
root        12     2  0 May21 ?        00:00:00 [cpuhp/0]
root        13     2  0 May21 ?        00:00:00 [kdevtmpfs]
root        14     2  0 May21 ?        00:00:00 [netns]
root        15     2  0 May21 ?        00:00:00 [rcu_tasks_kthre]
root        16     2  0 May21 ?        00:00:00 [kauditd]
root        17     2  0 May21 ?        00:00:00 [khungtaskd]
root        18     2  0 May21 ?        00:00:00 [oom_reaper]
root        19     2  0 May21 ?        00:00:00 [writeback]
root        20     2  0 May21 ?        00:00:00 [kcompactd0]
root        21     2  0 May21 ?        00:00:00 [ksmd]
root        22     2  0 May21 ?        00:00:00 [khugepaged]
root        23     2  0 May21 ?        00:00:00 [crypto]
root        24     2  0 May21 ?        00:00:00 [kintegrityd]
root        25     2  0 May21 ?        00:00:00 [kblockd]
root        26     2  0 May21 ?        00:00:00 [ata_sff]
root        27     2  0 May21 ?        00:00:00 [md]
root        28     2  0 May21 ?        00:00:00 [edac-poller]
root        29     2  0 May21 ?        00:00:00 [devfreq_wq]
root        30     2  0 May21 ?        00:00:00 [watchdogd]
root        32     2  0 May21 ?        00:01:07 [kworker/0:1]
root        34     2  0 May21 ?        00:00:00 [kswapd0]
root        35     2  0 May21 ?        00:00:00 [kworker/u3:0]
root        36     2  0 May21 ?        00:00:00 [ecryptfs-kthrea]
root        78     2  0 May21 ?        00:00:00 [kthrotld]
root        79     2  0 May21 ?        00:00:00 [acpi_thermal_pm]
root        80     2  0 May21 ?        00:00:00 [scsi_eh_0]
root        81     2  0 May21 ?        00:00:00 [scsi_tmf_0]
root        82     2  0 May21 ?        00:00:00 [scsi_eh_1]
root        83     2  0 May21 ?        00:00:00 [scsi_tmf_1]
root        89     2  0 May21 ?        00:00:00 [ipv6_addrconf]
root        98     2  0 May21 ?        00:00:00 [kstrp]
root       115     2  0 May21 ?        00:00:00 [charger_manager]
root       157     2  0 May21 ?        00:00:02 [kworker/0:1H]
root       158     2  0 May21 ?        00:00:00 [scsi_eh_2]
root       159     2  0 May21 ?        00:00:00 [scsi_tmf_2]
root       181     2  0 May21 ?        00:00:01 [jbd2/sda1-8]
root       182     2  0 May21 ?        00:00:00 [ext4-rsv-conver]
root       214     1  0 May21 ?        00:00:01 /lib/systemd/systemd-journald
root       279     1  0 May21 ?        00:00:00 /lib/systemd/systemd-udevd
root       282     2  0 May21 ?        00:00:00 [loop0]
root       283     2  0 May21 ?        00:00:00 [loop1]
root       284     2  0 May21 ?        00:00:00 [loop2]
root       285     2  0 May21 ?        00:00:00 [loop3]
root       286     2  0 May21 ?        00:00:00 [loop4]
root       287     2  0 May21 ?        00:00:00 [loop5]
root       288     2  0 May21 ?        00:00:00 [loop6]
root       289     2  0 May21 ?        00:00:00 [loop7]
root       291     2  0 May21 ?        00:00:00 [loop8]
root       292     2  0 May21 ?        00:00:00 [loop9]
root       293     2  0 May21 ?        00:00:00 [loop10]
root       294     2  0 May21 ?        00:00:00 [loop11]
root       296     2  0 May21 ?        00:00:00 [loop12]
root       297     2  0 May21 ?        00:00:00 [loop13]
root       298     2  0 May21 ?        00:00:00 [loop14]
root       299     2  0 May21 ?        00:00:00 [loop15]
root       300     2  0 May21 ?        00:00:00 [loop16]
root       302     2  0 May21 ?        00:00:00 [loop18]
root       303     2  0 May21 ?        00:00:00 [loop19]
root       304     2  0 May21 ?        00:00:00 [loop20]
root       305     2  0 May21 ?        00:00:00 [loop21]
root       306     2  0 May21 ?        00:00:00 [loop22]
root       307     2  0 May21 ?        00:00:00 [loop23]
root       308     2  0 May21 ?        00:00:00 [loop24]
